Charge Code/Package,Gross Charges,Charge Description,Patient Type,Rev Code,Discounted Cash Price,De-Identified Minimum,De-Identified Maximum
Px01160000000_00000_100094_36,1800,HC ROOM AND BOARD  PRIVATE  DETOX,IP,116,1170,630,2550
Px01160000001_00000_100094_36,2605,HC ROOM AND BOARD  PRIVATE  DETOX  ISOLATION,IP,116,1693.25,650,2605
Px01190000000_00000_100094_36,856,HC ROOM AND BOARD  PRIVATE  LTACH,IP,119,556.4,428,2666
Px01190000001_00000_100094_36,1418,HC ROOM AND BOARD  PRIVATE  TELEMETRY  LTACH,IP,119,921.7,709,2666
Px01190000002_00000_100094_36,1661,HC ROOM AND BOARD  PRIVATE  LTACH  ISOLATION,IP,119,1079.65,830.5,2666
Px01190000003_00000_100094_36,2223,HC ROOM AND BOARD  PRIVATE  TELEMETRY  LTACH  ISOL,IP,119,1444.95,1111.5,2666
Px02090000002_00000_100094_36,1585,HC ROOM AND BOARD  PRIVATE  INTERMEDIATE ICU  LTAC,IP,209,1030.25,792.5,4666
Px02090000003_00000_100094_36,2767,HC ROOM AND BOARD  PRIVATE  ICU  LTACH,IP,209,1798.55,1383.5,4666
Px02090000004_00000_100094_36,2320,HC ROOM AND BOARD  PRIVATE  INTERMEDIATE ICU  LTAC,IP,209,1508,1160,4666
Px02090000005_00000_100094_36,3502,HC ROOM AND BOARD  PRIVATE  ICU  LTACH  ISOLATION,IP,209,2276.3,1751,4666
Px02300000001_00000_100094_36,151,HC ENTEROSTOMAL THERAPY COMPLEX,IP,230,98.15,52.85,151
Px02300000001_00000_100094_36,151,HC ENTEROSTOMAL THERAPY COMPLEX,OP,230,98.15,52.85,151
Px02300000002_00000_100094_36,80,HC ENTEROSTOMAL THERAPY ROUTINE,IP,230,52,28,80
Px02300000002_00000_100094_36,80,HC ENTEROSTOMAL THERAPY ROUTINE,OP,230,52,28,80
Px02300000003_00000_100094_36,201,HC NEG PRESS WOUND THRPY  50 CM,IP,230,130.65,70.35,201
Px02300000003_00000_100094_36,201,HC NEG PRESS WOUND THRPY  50 CM,OP,230,130.65,70.35,201
Px02300000004_00000_100094_36,263,HC NEG PRESS WOUND THRPY  50 CM  IPWC,IP,230,170.95,92.05,263
Px02300000004_00000_100094_36,263,HC NEG PRESS WOUND THRPY  50 CM  IPWC,OP,230,170.95,92.05,263
Px02300000005_00000_100094_36,128,HC NON SELECTIVE DEBRIDEMENT IPWC,IP,230,83.2,44.8,128
Px02300000005_00000_100094_36,128,HC NON SELECTIVE DEBRIDEMENT IPWC,OP,230,83.2,44.8,128
Px02300000006_00000_100094_36,278,HC RMVL DEVITAL TIS 20 CM/,IP,230,180.7,97.3,278
Px02300000006_00000_100094_36,278,HC RMVL DEVITAL TIS 20 CM/,OP,230,180.7,97.3,278
Px02300000007_00000_100094_36,278,HC RMVL DEVITAL TIS ADDL 20 CM/,IP,230,180.7,97.3,278
Px02300000007_00000_100094_36,278,HC RMVL DEVITAL TIS ADDL 20 CM/,OP,230,180.7,97.3,278
Px02300000008_00000_100094_36,89,HC SELFMGMNT EDUCANDTRAIN 1 PT IP WC,IP,230,57.85,31.15,89
Px02300000008_00000_100094_36,89,HC SELFMGMNT EDUCANDTRAIN 1 PT IP WC,OP,230,57.85,31.15,89
Px02300000010_00000_100094_36,182,HC TRIMMING NAILS,IP,230,118.3,63.7,182
Px02300000010_00000_100094_36,182,HC TRIMMING NAILS,OP,230,118.3,63.7,182
Px02500000501_00000_100094_36,321,HC NITRIC OXIDE INH 800PPM PER HR,IP,250,208.65,112.35,321
Px02500000501_00000_100094_36,321,HC NITRIC OXIDE INH 800PPM PER HR,OP,250,208.65,112.35,321
Px02600024400_M0244_100094_36,1689,HC CASIRIVI AND IMDEVI INFUS HM,IP,260,1097.85,591.15,1689
Px02600024400_M0244_100094_36,1689,HC CASIRIVI AND IMDEVI INFUS HM,OP,260,1097.85,69.3,1689
Px02600024900_M0249_100094_36,1125,HC ADM TOCILIZU COVID19 1ST,IP,260,731.25,393.75,1125
Px02600024900_M0249_100094_36,1125,HC ADM TOCILIZU COVID19 1ST,OP,260,731.25,69.3,1125
Px02609636000_96360_100094_36,579,HC IV INFUS THPY FLUID INTL 311HR,IP,260,376.35,202.65,579
Px02609636000_96360_100094_36,579,HC IV INFUS THPY FLUID INTL 311HR,OP,260,376.35,119.66,579
Px02609636100_96361_100094_36,261,HC IV INFUS THPY FLUID ADDL HR,IP,260,169.65,91.35,261
Px02609636100_96361_100094_36,261,HC IV INFUS THPY FLUID ADDL HR,OP,260,169.65,36.84,261
Px02609636500_96365_100094_36,670,HC IV INFUS THPY/PRO/DX INTL UP,IP,260,435.5,234.5,670
Px02609636500_96365_100094_36,670,HC IV INFUS THPY/PRO/DX INTL UP,OP,260,435.5,131.09,678.3
Px02609636600_96366_100094_36,266,HC IV INFUS THPY/PRO/DX ADDL HR,IP,260,172.9,93.1,266
Px02609636600_96366_100094_36,266,HC IV INFUS THPY/PRO/DX ADDL HR,OP,260,172.9,36.84,266
Px02609636700_96367_100094_36,300,HC IV INFUS THPY/PRO/DX ADDL NEW,IP,260,195,105,300
Px02609636700_96367_100094_36,300,HC IV INFUS THPY/PRO/DX ADDL NEW,OP,260,195,58.66,300
Px02609636800_96368_100094_36,221,HC IV INFUS THPY/PRO/DX CONCURR,IP,260,143.65,77.35,221
Px02609636800_96368_100094_36,221,HC IV INFUS THPY/PRO/DX CONCURR,OP,260,143.65,77.35,221
Px02609637200_96372_100094_36,169,HC THPY/PRO/DX INJ SQ/IM,IP,260,109.85,59.15,169
Px02609637200_96372_100094_36,169,HC THPY/PRO/DX INJ SQ/IM,OP,260,109.85,56.9,169
Px02609637400_96374_100094_36,330,HC THPY/PRO/DX IV PUSH INTL,IP,260,214.5,115.5,330
Px02609637400_96374_100094_36,330,HC THPY/PRO/DX IV PUSH INTL,OP,260,214.5,82.98,330.86
Px02609637500_96375_100094_36,304,HC THPY/PRO/DX IV PUSH ADDL SEQ,IP,260,197.6,106.4,304
Px02609637500_96375_100094_36,304,HC THPY/PRO/DX IV PUSH ADDL SEQ,OP,260,197.6,36.84,304
Px02609637600_96376_100094_36,278,HC THPY/PRO/DX IV PUSH SAME,IP,260,180.7,97.3,278
Px02609637600_96376_100094_36,278,HC THPY/PRO/DX IV PUSH SAME,OP,260,180.7,90.64,278
Px02609637900_96379_100094_36,137,HC THPY/PRO/DX INJ/INFUSION UNLSTD,IP,260,89.05,47.95,137
Px02609637900_96379_100094_36,137,HC THPY/PRO/DX INJ/INFUSION UNLSTD,OP,260,89.05,36.84,137.37
Px02700000500_00000_100094_36,630,HC PRECUSSION VEST,IP,270,409.5,220.5,630
Px02700000500_00000_100094_36,630,HC PRECUSSION VEST,OP,270,409.5,220.5,630
Px02710000003_00000_100094_36,390,HC VEST AIRWAY CLEARANCE,IP,271,253.5,136.5,390
Px02710000003_00000_100094_36,390,HC VEST AIRWAY CLEARANCE,OP,271,253.5,136.5,390
Px02710000505_L4350_100094_36,54.5,HC SPLINT ANKLE AIR STIRRUP,IP,274,35.43,19.07,54.5
Px02710000505_L4350_100094_36,54.5,HC SPLINT ANKLE AIR STIRRUP,OP,274,35.43,19.07,95.38
Px02710000506_00000_100094_36,5098.8,HC PAD GEL ARTIC SUN SIZE SML,IP,271,3314.22,1784.58,5098.8
Px02710000506_00000_100094_36,5098.8,HC PAD GEL ARTIC SUN SIZE SML,OP,271,3314.22,1784.58,5098.8
Px02710000507_00000_100094_36,144,HC VENTILATOR CIRCUIT,IP,271,93.6,50.4,144
Px02710000507_00000_100094_36,144,HC VENTILATOR CIRCUIT,OP,271,93.6,50.4,144
Px02710000510_00000_100094_36,626.3,HC OSCILLATOR VENT CIRCUIT,IP,271,407.1,219.2,626.3
Px02710000510_00000_100094_36,626.3,HC OSCILLATOR VENT CIRCUIT,OP,271,407.1,219.2,626.3
Px02710000514_00000_100094_36,162.8,HC MASK TOTAL FACE SM/LG,IP,271,105.82,56.98,162.8
Px02710000514_00000_100094_36,162.8,HC MASK TOTAL FACE SM/LG,OP,271,105.82,56.98,162.8
Px02710000515_00000_100094_36,274,HC MASK NASAL PEDS,IP,271,178.1,95.9,274
Px02710000515_00000_100094_36,274,HC MASK NASAL PEDS,OP,271,178.1,95.9,274
Px02710000518_00000_100094_36,298,HC CRUTCHES ADULT XLG,IP,271,193.7,104.3,298
Px02710000518_00000_100094_36,298,HC CRUTCHES ADULT XLG,OP,271,193.7,104.3,298
Px02710000526_00000_100094_36,91,HC HELIOX PER HOUR,IP,271,59.15,31.85,91
Px02710000526_00000_100094_36,91,HC HELIOX PER HOUR,OP,271,59.15,31.85,91
Px02710000529_00000_100094_36,442.5,HC MSBOOT ROOKE,IP,271,287.63,154.88,442.5
Px02710000529_00000_100094_36,442.5,HC MSBOOT ROOKE,OP,271,287.63,154.88,442.5
Px02710000530_00000_100094_36,288.9,HC MS CANISTER INFOVAC 1000ML,IP,271,187.79,101.11,288.9
Px02710000530_00000_100094_36,288.9,HC MS CANISTER INFOVAC 1000ML,OP,271,187.79,101.11,288.9
Px02710000531_00000_100094_36,178.6,HC MS MS CANISTER VAC,IP,271,116.09,62.51,178.6
Px02710000531_00000_100094_36,178.6,HC MS MS CANISTER VAC,OP,271,116.09,62.51,178.6
Px02710000533_00000_100094_36,173.3,HC MS COVER RIGIDSOLE IMPAD,IP,271,112.65,60.66,173.3
Px02710000533_00000_100094_36,173.3,HC MS COVER RIGIDSOLE IMPAD,OP,271,112.65,60.66,173.3
Px02710000536_00000_100094_36,434.5,HC MS PRAFO BOOT ADULT,IP,271,282.43,152.07,434.5
Px02710000536_00000_100094_36,434.5,HC MS PRAFO BOOT ADULT,OP,271,282.43,152.07,434.5
Px02710000538_00000_100094_36,221.38,HC MS PROTECTOR HEEL/FOOT,IP,271,143.9,77.48,221.38
Px02710000538_00000_100094_36,221.38,HC MS PROTECTOR HEEL/FOOT,OP,271,143.9,77.48,221.38
Px02710000547_00000_100094_36,145.5,HC MS TRACTION BOOT,IP,271,94.58,50.92,145.5
Px02710000547_00000_100094_36,145.5,HC MS TRACTION BOOT,OP,271,94.58,50.92,145.5
Px02710000548_00000_100094_36,179,HC MS BAG DRAINAGE TRUCLOSE,IP,272,116.35,62.65,179
Px02710000548_00000_100094_36,179,HC MS BAG DRAINAGE TRUCLOSE,OP,272,116.35,62.65,179
Px02710000558_L3984_100094_36,100,HC MS SPLINT WRIST,IP,274,65,35,100
Px02710000558_L3984_100094_36,100,HC MS SPLINT WRIST,OP,274,65,35,175
Px02710000560_A6550_100094_36,655.5,HC MS DSG VAC VERAFLO CLEANSE,IP,271,426.08,229.42,655.5
Px02710000560_A6550_100094_36,655.5,HC MS DSG VAC VERAFLO CLEANSE,OP,271,426.08,229.42,655.5
Px02710000567_00000_100094_36,455.4,HC GO2 VENT W/VORTRAN MANO,IP,271,296.01,159.39,455.4
Px02710000567_00000_100094_36,455.4,HC GO2 VENT W/VORTRAN MANO,OP,271,296.01,159.39,455.4
Px02710000578_00000_100094_36,159.5,HC MS SURGIBRA XXLG LF,IP,271,103.68,55.82,159.5
Px02710000578_00000_100094_36,159.5,HC MS SURGIBRA XXLG LF,OP,271,103.68,55.82,159.5
Px02710000580_00000_100094_36,169.7,HC MS SURGIBRA XLG LF,IP,271,110.31,59.39,169.7
Px02710000580_00000_100094_36,169.7,HC MS SURGIBRA XLG LF,OP,271,110.31,59.39,169.7
Px02710000587_00000_100094_36,227.7,HC SENSOR VENT NEONATAL,IP,271,148.01,79.69,227.7
Px02710000587_00000_100094_36,227.7,HC SENSOR VENT NEONATAL,OP,271,148.01,79.69,227.7
