Code,CPT/HCPCS,Description,Revenue Code,Unit Price,Cash Price,Min Allowable,Max Allowable
11000001,,HC PRIVATE ROOM,0110,"$1,775.00",$887.50,"$1,065.00","$1,597.50"
11000003,,HC PRIVATE ROOM COVID ISOLATION,0110,"$2,291.00","$1,145.50","$1,374.60","$2,061.90"
11400001,,HC PRIVATE ROOM - PYSCH,0114,"$2,956.00","$1,478.00","$1,773.60","$2,660.40"
11500001,,HC HOSPICE ROOM,0115,"$1,624.00",$812.00,$974.40,"$1,461.60"
11500002,,HC HOSPICE ROOM HIGHER ACUITY,0115,"$5,555.00","$2,777.50","$3,333.00","$4,999.50"
11700001,,HC ONCOLOGY PRIVATE ROOM,0117,"$2,106.00","$1,053.00","$1,263.60","$1,895.40"
12000001,,HC SEMI PRIVATE ROOM,0120,"$1,739.00",$869.50,"$1,043.40","$1,565.10"
12400001,,HC SEMI PRIVATE ROOM - PSYCH,0124,"$2,922.00","$1,461.00","$1,753.20","$2,629.80"
16000001,,HC ROOM & BOARD - OTHER,0160,"$1,775.00",$887.50,"$1,065.00","$1,597.50"
17000001,,HC NEWBORN NURSERY,0170,"$1,406.00",$703.00,$843.60,"$1,265.40"
17200001,,HC NEWBORN NURSERY - LEVEL II,0172,"$1,584.00",$792.00,$950.40,"$1,425.60"
20000001,,HC INTENSIVE CARE UNIT,0200,"$6,313.00","$3,156.50","$3,787.80","$5,681.70"
20000002,,HC INTENSIVE CARE UNIT COVID ISOLATION,0200,"$6,829.00","$3,414.50","$4,097.40","$6,146.10"
20100001,,HC INTENSIVE CARE - SURGICAL,0201,"$6,313.00","$3,156.50","$3,787.80","$5,681.70"
20600001,,HC INTERMEADIATE ICU,0206,"$3,242.00","$1,621.00","$1,945.20","$2,917.80"
20600002,,HC INTERMEADIATE ICU COVID ISOLATION,0206,"$3,757.00","$1,878.50","$2,254.20","$3,381.30"
21000001,,HC CORONARY CARE,0210,"$6,313.00","$3,156.50","$3,787.80","$5,681.70"
21400001,,HC INTERMEDIATE CCU,0214,"$3,242.00","$1,621.00","$1,945.20","$2,917.80"
